id,clust_5,LD1,LD2,LD3,LD4
3623,1,-0.46144167721164076,0.4812271165642229,-0.21894253305436498,0.017558497661920743
3624,1,0.18715590462939383,-0.03331289297102538,-0.800644435818726,0.5109822829862494
3625,1,0.5069017810560352,0.014943460700297256,-0.6213694689742868,0.5197341200801673
3626,1,1.324560857218098,-0.2823800126174752,-1.312472964028224,0.8918636406282503
3627,2,1.7011734288533982,-0.6828229492322682,-1.3229112561978855,1.0507399011683702
3628,2,1.141040766668762,-0.7498213882001257,-0.8087416869897072,1.1714968401422605
3629,1,0.9994999929031464,-1.5667255400000306,0.33106958357083294,0.9761417627665006
3630,1,1.3284652174500837,-1.0984659812236708,0.12675661397400523,0.7883603858424809
3638,4,2.7129103651575432,-0.44577635034392693,0.3877998106576469,0.14289367028419625
3639,4,2.42137484614939,-0.732219244888018,1.0854841261476322,-0.20867518806763918
3644,4,5.3519141891554,1.6248639517844756,-1.0332508566315375,0.30230656733436034
3645,4,5.185310480871759,2.6817110942758813,0.43980956717508324,-0.3149387903872155
3646,4,5.053090367121966,3.188727131473067,0.5787188889816428,-0.5356336887518948
3672,3,-0.6372508930741655,-0.4901951534286665,-0.6564528431120025,-1.5008823096372954
3673,3,-1.2426062213211397,-0.04031673173328418,-0.5726488144564217,-1.6940113248243376
3674,3,-1.0638778455471296,0.1832779389849587,-0.842066432395512,-1.6980851346412154
3675,3,-1.0884784484600354,0.05533888160698914,-1.06702891097977,-1.685459473063598
3676,3,-0.9116605297223347,0.02728151634591497,-1.3264635882056017,-1.5166333059787382
3677,3,-0.8778384520751673,-0.039750755949369554,-1.283412535635456,-1.3877553220909615
3678,3,-0.6359923910604146,-0.5477478366452698,-1.354268656772018,-1.1302174632111197
3679,3,-0.9940446684779999,-0.20559319096987128,-1.5001642229925305,-1.1419654865216269
3680,3,-1.2973838562532487,0.04677422941717457,-1.6031381611595954,-1.0550487741197547
3681,3,-1.5322340621973543,0.24210486114124297,-1.6405471768961684,-0.8292770364023565
3682,3,-1.655277309179944,-0.1487570889909426,-1.1592310330203828,-0.7941956934864076
3683,3,-1.7051597154807412,-0.279833168296089,-1.19454048561536,-0.7583880680247274
3684,3,-1.914705819166942,0.05124904772493389,-1.4593018673127722,-0.7664172212084914
3685,3,-2.2013839112844167,0.4555866413019527,-1.5333806019265108,-0.6840481563042129
3686,3,-2.591063444159931,0.9514168721811036,-1.5869381779811194,-0.3674291787471078
3687,3,-2.5534515733389878,0.44613312750101664,-1.1769669194506278,-0.12080853549556103
3688,3,-2.5524966513533105,0.88267127401936,-1.3191266372402384,-0.14450002808033752
3689,3,-2.284745287427275,0.8537383101371818,-1.3998933990901226,-0.22643997387959403
3690,1,-2.0481883217335968,0.7457017334186236,-1.3209099147828964,-0.34562533578656385
3691,1,-1.9190500901496013,0.5835155266850286,-1.12878628008672,-0.5377252497030238
3692,1,-2.0403165152761953,0.663493904209789,-1.0248902822118746,-0.687855252091812
3693,1,-2.035303056007744,0.6738429454237288,-1.0145239158254646,-0.6644470979024494
3694,3,-1.971202387289711,0.15649708286520803,-0.993926669788197,-0.44430932746624685
3695,3,-2.0005786412546978,0.14480842515130282,-0.8165635814541976,-0.45451079956517665
3696,1,-2.000718706770222,0.6409729302998913,-0.970224326342511,-0.5502932437304555
3697,1,-1.767941410551202,0.35706031441476127,-0.4872806051611103,-0.5352752299431762
3698,1,-1.785027690917122,1.0100682094959441,-0.4171597108181035,-0.5804254723727933
3699,3,-1.2177303444892724,1.4322626825084595,-0.09910132691005591,-0.7411083894841064
3700,1,-0.6862251832673759,1.3588579010734687,0.5132174012345023,-0.947218694168241
3701,1,-0.008321638683901685,0.9794924983258678,-0.10972300935489979,-0.737371961279041
3702,1,0.025930314734124355,1.654123647155846,-0.3969910431162992,-0.7563944333960223
3703,1,0.1855713778838611,1.113872585603919,0.18407383688714157,-0.8330363632197403
3704,1,0.3082157849836602,1.3115856165700215,0.285016192560324,-0.8029799957406495
3705,1,0.09371227827549036,1.5018267492438528,-0.32745742140887807,-0.551411654918638
3706,2,0.4069312605157004,0.9776851873404228,-0.7763486940556904,-0.36522067213493775
3707,2,0.42396402839764963,0.8161923052107262,-0.7787407834430727,-0.32360325840154497
3708,2,0.6402401213178053,0.5900146894295857,-0.9934524196021003,0.037737760449668756
3709,2,0.209050497330256,0.14849842634833454,-0.5098602863512048,-0.01698468674470266
3710,1,0.3599634472167862,0.3574728394699161,-0.20514406822349707,-0.02513853150295453
3711,1,0.06739855683946493,0.11335243517184777,0.3734571597338342,-0.10370648412794972
3712,1,-0.22276804597738867,1.0408044410811697,-0.5668254152873726,0.16335314811803664
3713,1,0.05701847114945757,0.751245184061566,-1.1864573963567133,0.3930691633156415
3714,1,1.0302414992165811,-0.07176478881877557,-1.1333811073848794,0.5608379672371022
3715,1,1.3364158522159104,0.1232088015676403,-1.1273909031111355,0.6099906523935298
3716,2,1.7033855513747538,-0.1612708299932193,-1.2931902156202233,0.8846495022522531
3717,1,1.850820831448521,-1.1304366413228877,-1.07100312561511,1.1910156455122385
3718,1,1.6993551999013627,-1.0959940261431131,-0.9206459900705399,1.2988836741697183
3719,1,2.0108827315188806,-1.1329463715455246,-0.793139751573656,1.1747634017176352
3727,4,3.208909967042975,-1.1034001772379776,0.5816638869072089,0.22442761635521435
3728,4,2.243746296979534,-0.42026368769890593,1.3601095411040767,-0.4675916329957159
3733,4,5.738695173727713,1.5739512543712195,-1.721336202647739,0.6765505203414092
3734,4,5.240244121709526,2.534509639919661,0.4766220178939635,-0.2095398521702183
3760,3,-1.213537972338463,-0.5646413522427219,-0.12354922486215014,-1.2738796279000046
3761,3,-1.0298544158176495,-0.6924819800723289,-0.2765221173861152,-1.4068733772196689
3762,3,-1.2052467862863185,-0.4225199486977388,-0.3693634489286256,-1.5462365112937555
3763,3,-1.1341307485458283,-0.2994818963136739,-0.6770611727980562,-1.42653733917841
3764,3,-1.3171548821860604,0.08084846973630157,-0.9313741103913677,-1.4740791613126971
3765,3,-0.8901418006579468,-0.4478419544845862,-1.1593716236504417,-1.4241800757392897
3766,3,-1.0192763234038493,-0.6176923742603057,-1.071884107755673,-1.4893133637090705
3767,3,-1.6624659717611296,0.4770956628281989,-1.2434482788853805,-1.4227830880411512
3768,1,-1.2136568881022693,0.0670085826597066,-1.4279743980393969,-1.315621547704801
