id,clust_8,LD1,LD2,LD3,LD4,LD5
307,1,-1.845944375475026,1.2682126603665391,1.0911947413003187,1.150102754859471,-0.010161926197923707
308,2,-2.021016100997193,0.4370717041159299,-0.3680693826993482,1.5176902908093424,0.5006482182286746
309,2,-2.2684408338487776,0.46807810523496773,-0.10032303705377221,1.2561494868310024,-0.11678283806524362
395,1,-2.900672288046541,1.3780096671584747,0.39945542049213023,1.0645195846351434,0.33758755472542074
396,1,-2.293420724999138,0.9846643036287871,0.10505021665618686,1.2534791591063479,0.4883264652152549
397,1,-2.310449433539793,0.7937012792257094,0.021214332675546732,1.1348254403370341,0.1588865649643467
398,2,-1.9660776203596455,-0.8682548404164162,-0.9647377774946847,0.9675588329295628,-0.701212292672255
399,2,-2.5620308114728205,-0.2444855422527894,0.3108762437297554,1.053588968823239,-0.20403725114220966
484,1,-4.499523901479966,-0.8392640117569335,-2.4335007557348582,1.8266300064119816,0.8802629697009345
485,1,-3.397010471166466,0.2433900363640601,-1.2440169874993516,1.3018924684424733,0.40490612723852093
486,1,-2.5397441061141137,0.569037554171846,0.17657238160866084,0.5095325776079429,0.6098501412077985
487,1,-2.8706681119981847,-0.2519450777418385,0.6478637601028264,0.26162067690012614,1.4042164871486584
488,1,-3.1160323427767267,0.10497343820360872,1.193655444905508,0.4291258418653532,1.4134952530488119
489,2,-2.8952682051435867,-0.580028222021421,0.6938192951734196,0.5516483488947599,1.0713202083949391
490,2,-2.965329200704288,-0.8516929240627029,0.6020687708322284,0.2916156215854879,0.44892556015787044
491,2,-2.7824535041774126,-1.3585006537055977,0.4318010084437326,0.6345364044832729,0.35711543474230606
573,1,-4.865197400193676,-0.34566359946449954,-1.9674738778041536,1.4598441657611645,0.7980416546790603
574,1,-4.795834927488328,-0.2939193230307967,-2.0367187734747945,1.1567364521583627,0.8291902133217914
575,1,-3.275044541342044,0.4435425974747409,1.2684652015240114,-0.018426380537946763,1.3625124253553873
576,1,-3.1957591695834453,0.4131293742267582,1.1950983778001785,-0.10595795322655865,1.379218609022985
577,1,-3.2224932814755527,0.38489975757477224,1.3000844804094567,0.07893042532709682,1.3744231970758596
578,1,-3.2397022752826614,0.4666561721014237,1.2877294554312517,-0.08015339448381287,1.3655859454398196
