id,clust_3,LD1,LD2
307,1,0.3212064332692046,-1.9590934799468427
308,1,0.34651543859499345,-1.678540761944608
309,1,-0.1944570849143351,-1.7724534598594262
395,1,0.14927991043916722,-2.179756077491583
396,1,0.19261831604154378,-1.9860151839338465
397,1,0.04139454792757459,-1.7940148953858532
398,1,-0.5079286407697379,-1.71126828211562
399,1,-0.1894106510923719,-1.9679065398605038
484,1,0.48172061851282766,-2.1195596162041554
485,1,-0.37498777672698336,-2.0903690755363242
486,1,-0.7072517685699492,-1.9001665044034977
487,1,-0.7568166134281363,-1.866890226721667
488,1,-0.3066378282935259,-1.9632692577119304
489,1,-0.38864151614301795,-1.61791501936201
490,1,-0.5784602797040563,-1.3298669555449616
491,1,-0.19436958988280287,-1.0309024654607
573,1,0.028217109110388147,-1.9582169426351108
574,1,-0.23428169817458605,-1.8349031783607341
575,1,-0.4516662883567276,-1.6857272009835487
576,1,-0.6087838308493375,-2.1493108247492363
577,1,-0.10618205619555456,-2.0309144175931735
578,1,-0.2173660776101467,-1.7787690658983866
579,1,-0.42493813678379005,-1.6176378101009745
580,1,-0.3318540613970165,-1.3261988026210103
581,1,0.3782526778644835,-0.7223390399397918
582,1,-0.341448406364636,0.4800359171135118
583,1,-0.26832450869279145,0.5752899656934256
662,1,0.34202399130104427,-1.9316875295304325
663,1,-0.03672270428548237,-1.9821769735976371
664,1,-0.2512933129614505,-1.7672780598947722
665,1,-0.07271563897976936,-2.0545034700704488
666,1,0.08602708597201418,-2.0115262094553548
667,1,-0.20873577488366896,-1.6450067475572079
668,1,-0.1876770996925879,-1.2942278545260264
669,1,-0.026223398252831112,-1.1257881583874725
670,1,-0.24898110066806256,-1.0004647474247008
671,1,-0.6953879700714429,-0.17955067291437155
672,1,-0.5213514376726244,-0.03172996970010744
673,1,-0.4113533093352822,0.5955204597904278
751,1,-0.031384187214046275,-2.025380813963682
752,1,0.12492213977726878,-2.1893823449668273
753,1,0.05044489127494365,-1.9705279225011354
754,1,-0.14732902361061823,-2.2278979684755402
755,1,0.22994766497508506,-2.1330696773971383
756,1,0.02093793750464197,-1.6945493123968718
757,1,-0.04708884906292323,-1.1484123876964625
758,1,0.035048564063022196,-1.3671170174703142
759,1,-0.06858152244862405,-1.0068652783215382
760,1,-0.3941326967300265,-0.5403769774067733
761,1,-0.32804933892031746,-0.24659909498550597
762,1,-0.3830573312255742,0.2675211184481075
763,1,-0.3824099800569244,0.44277680384708584
841,1,0.11788582605631874,-2.0331062679043783
842,1,-0.17821551634876015,-2.176053659781769
843,1,-0.5631727923515616,-2.1808158303482403
844,1,-0.055312440619428235,-2.0048368982364524
845,1,0.4495590253854753,-1.7055018856011481
846,1,-0.007598419010503862,-1.146390055030974
847,1,0.022125133487320717,-1.9140915701791332
848,1,-0.1484326432620617,-1.3499039554171564
849,1,-0.8010345794434083,-1.2166630881462708
850,1,-0.8912051935440687,-0.933438210159625
851,1,-0.4866796581446339,-0.7805719195104465
852,1,-0.8127407976000894,0.012459600487984557
929,1,0.5939121862649038,-1.6735471899833232
930,1,0.13496927903205128,-1.4041980164920957
931,1,-0.2399366340324848,-1.8006523833468626
932,1,-0.0569190174277993,-2.1797212729452196
933,1,-0.16235705628004543,-2.082716133488585
934,1,-0.31673864498292226,-1.8182846770960355
935,1,-0.14672182418520852,-1.6696743084040913
936,1,-0.7577581574850358,-1.7037522041958182
937,1,-0.3687210713420951,-1.6458668470630218
938,1,-0.74011044089375,-1.8405829594781542
939,1,-0.9191814318581208,-1.750835159726003
940,1,-0.5331401123749692,-1.3906051174346572
941,1,-0.8996702579056778,-0.6190524046811655
1020,1,0.4957072364926186,-1.5427371495485516
1021,1,-0.002035306411663206,-1.9987822608659473
1022,1,0.37058796815509415,-1.8426264380287747
1023,1,-0.150594268549942,-1.6179934744575504
1024,1,-0.49809083516788893,-1.637859084350206
1025,1,-0.6014230426227429,-1.8196274712789942
1026,1,-0.41081034905894176,-1.8555886184229666
1027,1,-0.5032264334116994,-2.0726864781663847
1028,1,-0.8601792624911996,-2.269674154186281
1029,1,-0.9628066075783835,-1.7856217766949678
1030,1,-0.7642741539900206,-1.1020828052404064
1109,1,0.6773015866801568,-1.3814323253186156
1110,1,-0.06643203654795683,-1.6999717558439706
1111,1,0.21142524550858993,-1.6796656901749287
1112,1,0.1372815846406465,-1.5215612606773323
1113,1,-0.1046210082335096,-1.4844755489940769
1114,1,0.26334587543085597,-1.9000403872409182
1115,1,-0.2792187569835455,-1.9834814346026817
1116,1,-0.2172756975597776,-2.168898346504938
1117,1,-0.2509806250140071,-2.36723871072859
1118,1,-0.5623825031163161,-1.7008566058456926
1198,1,0.40453045000281856,-1.1349873142586782
1199,1,0.16046850912038813,-1.434057061974195
1200,1,-0.29440424220266115,-1.5503349746855417
1201,1,0.047112941997846366,-1.802826985943198
1202,1,0.4027102767138544,-1.7215279578260858
1203,1,0.2521524339577602,-1.7167395229389122
1204,1,0.07599056703663498,-2.0236120504831163
1205,1,-0.22067684596159828,-2.469850837573764
1211,1,-0.9409539287516363,0.9286777770053134
1212,1,-1.1117564569926541,0.9917009789459164
1213,1,-1.1613464939756442,0.9490826531576798
1214,1,-1.3400330288234004,0.9331207322644979
1290,1,0.031088342542450118,-2.1497526159754896
1291,1,0.036574281917837195,-2.1040416919843024
1292,1,-0.349627078258811,-1.9108930443823529
1293,1,-0.0013537811259100654,-2.066794850083862
1294,1,-0.029874877703966747,-2.377274582293112
1298,1,-0.5211640095420546,0.28228600251686087
1299,1,-0.5463343067814783,0.7081608541951103
1300,1,-0.48489318401541837,1.401475066815666
1301,1,-1.1890268653101335,1.119789160638985
1302,1,-1.035270504598025,0.8656994331743639
1320,1,-3.362717838364119,0.1818961380117838
1321,1,-4.2326309836491065,-0.27488056934347244
1322,1,-4.595963274579029,-0.6028531517874802
1323,1,-3.770041802283938,-0.47539720791906626
1380,1,8.681961951006317e-4,-2.1182362615356896
1381,1,-0.25541855348081177,-2.0208451754980628
1382,1,-0.274357910015958,-1.9896856850141764
1383,1,0.4101530441932673,-1.8202079840692906
1386,1,-0.7690692176824871,-0.7592163284098958
1387,1,-0.6338326529809527,0.41634855185963027
1388,1,-0.6415984504199242,0.8676465166146835
1389,1,-0.5191106959809794,0.875817112056509
1390,1,-1.1496742778576083,0.9667300448340606
1403,1,-2.6602570969370936,1.284749166552451
1404,1,-2.8487389698690513,0.8670073578326265
1406,1,-3.724472364040331,-0.3899833929703126
1407,1,-3.4977284340477564,0.21616289871799604
1408,1,-3.929957355427693,-1.3188687296613395
1409,1,-3.8759703989027607,-0.03946078775582362
1410,2,-3.967968401999208,-0.830850609553596
1411,2,-4.468924782775739,-1.6701760377097161
1412,2,-3.7217866095237193,-0.621564182829606
1469,1,0.13937821032579206,-1.7281118189175997
