id,clust_5,LD1,LD2,LD3,LD4
3797,3,1.2766129791083325,0.1286586636132213,-0.5821074211387911,-0.5623195469097902
3798,3,1.1483840211934373,0.28225595210285637,-0.588857790627239,-0.9826682153205203
3799,3,1.4875506986523461,0.31574532870951894,-0.722659783031069,-1.0083582012746657
3800,3,1.3978395230204566,0.48708693958662086,-0.5829428846078141,-0.8302838010520037
3801,3,1.6468624486317263,1.1201399784757422,-0.6790541620824182,-1.066101007068419
3802,3,1.3835579657386352,1.0947159950995102,-0.5027831442632286,-1.2808534478348255
3803,3,1.7053844420484048,1.689143384193676,-0.08148016409880027,-0.8108406799207961
3804,3,1.7357703103824762,1.4190347212519951,-0.12148850190737898,-0.5285837602839575
3805,3,1.7508474474013482,0.421592148234089,-0.6604453779531276,0.18408142691708554
3806,3,2.084892982117774,0.1961242767112294,-1.1849285793429478,-0.02963629541738627
3807,3,2.4035579999652157,-0.5393716405292875,-1.470601472231023,-0.6675017011267413
3808,3,2.7587050194640574,-0.041831078426177615,-1.1349996763044852,-0.5980338773099887
3809,3,3.0233057749580117,0.9356104144994912,-0.5432867468156919,-1.5212897339945801
3815,3,2.9042432535683465,-0.9079863128175798,-0.29158535593881985,-0.9790029568338008
3816,3,2.790821470447203,-0.9080408064073975,0.20619642177074882,-1.3660158504558098
3817,3,2.6594801901938467,-1.2265125454864494,0.33544041572264716,-1.399518390035528
3818,3,2.9582948579491197,-1.3779179607928538,0.2810351210939839,-1.3603347162413992
3819,3,2.788578898177984,-1.4573285322958902,0.7161069377522219,-1.2662483214377906
3820,3,3.094151986621271,-0.7278907896987532,0.7867726033317864,-0.7870852818846759
3821,3,3.400873532453912,-0.0957273774414954,1.326992570887342,0.2318731950893168
3822,3,3.320200341286133,-1.1367864072212073,1.7537714977369772,-0.5050230401029058
3823,3,2.8448359004931456,-1.796160082957925,2.846430388645981,-0.027472477550697816
3850,2,-0.8015004644478745,-0.09793633574686751,-1.4295369500322292,-0.46552949819694966
3851,2,-1.1386157495006124,-0.5287242145626501,-1.4184357333505246,-0.6991581742405399
3852,2,-0.9474723897590083,-0.5925784008890771,-1.5147320883550575,-0.9256567010967682
3853,2,-1.037125717679907,-0.4228230621520107,-1.5199479456941603,-0.8302794621049066
3854,2,-2.0501353929897186,-0.4696373008863391,-1.0559506527218727,-0.3830338200488303
3855,2,-2.068242558407159,-0.7064801618824985,-1.1537891765106392,-0.5101872038799067
3856,2,-2.029309247475099,-0.48300465310783824,-1.0353351191613869,-0.6211181213980275
3857,2,-2.629082163835016,-0.39832433174273474,-0.5936400983818216,-0.7719155599952346
3858,2,-2.086907466458797,-0.3374209535908037,-0.8389583200496911,-1.3474712582861292
3859,2,-1.8661681430546884,-0.7508099019744388,-1.218295848931338,-1.184024959460328
3860,2,-2.219183931329759,-0.7272517478546962,-0.9648023020649367,-0.2646384710937532
3861,2,-2.186287277401655,-0.6393088191810473,-0.9200945827981093,-0.16944165811105305
3862,2,-2.1035819475405644,-0.6911015288763037,-1.0768010530800192,-0.2298207731148563
3863,2,-1.8768236576927764,0.4492351314870414,-0.6938647462240599,-0.36657085262166045
3864,2,-1.2868063275868478,-0.1988808014567954,-1.3385406519651712,-0.3577749947254872
3865,2,-1.3704917066185103,-0.48313149605816147,-1.4767771538560015,-0.5446116584569547
3866,2,-1.3423247597862509,-0.14847275893684744,-1.1305139586190973,-1.032580349689305
3867,2,-0.8867920869307978,-0.07043415422734571,-1.1930496263128127,-1.3471374795314701
3868,2,-0.7597330915991274,-0.3014405549317736,-1.5473917069825658,-0.8010048838075352
3869,2,-0.2787598428692389,0.10200769795191426,-1.6160228927430513,-0.5797076430142363
3870,2,-0.3678114539309403,-0.14889751745674984,-1.7552880862903493,-1.173465580377616
3871,4,-0.12082120625308392,0.23911084381635872,-1.6614785081286092,-1.5140453014971293
3872,4,0.10352834293509881,0.367283198095855,-1.451888575655259,-1.08465419889091
3873,4,0.42288929004143755,0.22492101330709757,-1.7287218531890614,-1.016066571709901
3874,4,0.5080475803700808,0.5209690932101534,-1.4361180116938186,-0.7174851666780439
3875,4,0.4183114738038657,0.49060701428288955,-1.0557619200145942,-0.6436015648454877
3876,4,0.6199114594860844,0.537873094072422,-0.42263987043651463,-0.6130022657523954
3877,4,0.5586836075201482,0.42392090692491463,-0.8174476658529239,-1.0085916984579122
3878,4,1.0373859614726693,0.7698005830481132,-0.47985564928375257,-1.6053712315307016
3879,4,1.1364954358582113,0.8920601743491992,-0.25932635660857545,-1.1660346333247926
3880,4,0.6949744975516031,0.3555654163473438,-0.018237966394791836,-1.1315839955690679
