id,clust_12,LD1,LD2,LD3,LD4,LD5,LD6
3095,5,2.4726237160999203,0.48457439926906426,1.6808207120735938,0.068371288041002,0.20803319501938483,0.1752182134656883
3096,5,2.2653132764900072,1.2198888679758666,1.943784078008346,-0.2786767506509003,-0.26622806701022816,0.9601095215099671
3097,5,2.3551219098800713,1.5296564224442641,2.3281927634397865,0.03172614884383207,-0.7960875151000709,0.9889973853941374
3098,6,2.456471309472843,2.0577053578800704,2.501205897001091,-0.5901661114109966,-0.9262490995564769,1.459849021894963
3099,6,2.4083448662825337,2.3127073047110094,1.8075227881582523,0.2673279418298785,-0.9240119997889422,0.4446493002185129
3103,6,3.7219779747206334,1.4482110810844717,0.9195178196979992,1.225534140341249,-0.7919303523812307,-0.12148118311420136
3104,6,3.984783896310758,0.9697659810542889,0.894612077706887,2.340009629030762,-1.369562950863756,-0.24066187497572245
3150,7,-1.2997400039784612,-2.6175545128124917,1.0641967561014591,0.44879472674917087,1.7612883081587651,-0.3167832970444875
3151,7,-2.177317914690761,-1.7504133959401804,1.381955089479909,-0.41314882334140557,0.7580008385740706,-1.111784787685429
3152,2,-2.34763483107211,-1.9711940049146923,0.9352355126239617,-0.030881810961575093,0.24889869095527667,-0.3264444250673262
3153,2,-1.2568542722124036,-2.347864862219169,1.054771686849651,0.745605177856889,0.5558341588936224,1.088667540536897
3154,2,-1.4582777431773803,-2.5853363820294932,0.6357605612912471,0.47262374018218745,0.8387509961397603,0.6623007088148346
3156,2,-1.4478827444649522,-2.1561181493384227,0.7430831835281007,0.16987035768036868,1.0696276991193068,0.6368889975846102
3157,2,-1.893627099059154,-2.086215655047877,0.8333312558362527,0.6315302612705883,0.7378019679044012,-0.11336605125330881
3158,7,-1.5939255528092848,-2.221988706904852,0.9428016256254478,1.114955126723923,0.5596259902665626,-0.006777347084952312
3159,7,-2.097163866707855,-1.9645146834670935,0.9655044773379577,0.6886389975169163,0.35761496574438895,-0.6217051960969582
3160,7,-2.618222311978763,-1.3123242721006727,0.6867868417504787,0.5321636269459953,0.20457352734857617,-0.9996454684874607
3161,7,-2.2939832517675414,-1.0748509524001353,0.3620028141439521,0.6583978581986405,0.6359052713144171,-0.8895047722822971
3162,7,-2.2543308807187974,-0.9107814895729751,0.5486787305705958,0.5301831577024665,0.37713466193645107,-0.7794443821458498
3163,7,-2.303599163909959,-0.6975089197316987,0.6907364597764587,0.11832546955171763,0.21768472580500448,-1.0190015350242623
3164,7,-2.523369765369431,-0.8201692229744848,0.4293522517909885,-0.03959946982283305,0.36951293717158845,-1.35395272529865
3165,7,-2.0664548339316147,-0.7889156052584991,0.613911155056957,0.19176720059703156,0.34438436692573926,-1.0824014247564409
3166,7,-0.22871866892803855,0.1140348313513587,0.5506568598972827,0.8149249336213892,1.9237571116901528,-1.633736950503684
3167,2,0.5679463022067245,0.8489255262419594,1.1813879162985215,0.2674293383407522,1.938424285557516,-0.600306350944283
3168,2,1.1278942510373517,0.5591279195268792,1.384963973006303,0.6675469140589723,1.825454225198208,-0.36592846652977
3169,2,1.639223384511065,0.6749816478252694,1.750460531402656,-0.09515849983397973,1.6584912873009594,0.09032470638650508
3170,8,1.445690375290961,1.0736600031456511,1.0991870458702033,-0.4373828560189563,1.3342911919010279,0.8652189801235937
3171,5,1.5232275688264487,-0.16835604733666582,0.6131894555825095,-0.7293638785773737,1.1392590938742475,0.4395590831948799
3172,8,2.1380828185619842,-0.8527880195947901,1.4402681852425252,-1.6017859176830884,0.9566473494569959,0.49891349900940146
3173,5,1.7996433093538187,-0.8330362155089476,1.3571292107289674,-1.9208765334697366,0.43217916635329734,-0.5919650839918236
3174,5,2.794476920064298,-0.27773819867723465,-0.02690845981856431,-1.106671968123839,0.5307817079568694,0.2500663795284887
3175,5,2.8032541105384117,-0.23069863983229555,-0.4645184226542543,-0.49436877958320563,0.5982790266617755,-0.19473611763601498
3176,5,2.4915907782910005,-0.11606377905531545,-0.23953958969496963,-0.39542794715764745,0.5138467383161041,-0.4899733020189664
3177,5,2.118563908866915,0.09518005320025055,-0.10897205813845734,-0.16366558597048608,0.7149508107009432,-0.3184206458325509
