"id","RDA1","RDA2","RDA3","RDA4","PC1","PC2"
"log_popdens",0.867792109492804,-0.386446697216255,0.116986738868186,-0.289672069488351,0,0
"sqrt_anthropic",0.760244622154395,0.59691141312746,-0.188159812232928,-0.174128585889758,0,0
"log_anthropic_delta",-0.252674385019114,0.508811545083888,-0.0830979572948974,-0.818755883177627,0,0
"patch_density",0.519605709242084,-0.017999729208874,-0.832779477575154,-0.190169025871968,0,0
