id,fire_var,interc,slope,slope_cimin,slope_cimax,slope_sig
307,log1_frequency_q99s,0.899267409968458,0.10868132109424206,-0.1715746419216802,0.3889372841101643,False
307,log_burned_area_n,-2.9020104618263547,0.2245422461621157,-0.40509844425174824,0.8541829365759797,False
307,log_number_fires_n,-2.08371299519718,0.1948702809969699,-0.5370046502071804,0.9267452122011202,False
307,log_size_q50,-1.75539664977552,-0.08568023774591205,-0.24593125949348577,0.07457078400166167,False
307,log_size_q99,0.7693480118036999,0.367023062165885,0.15736308640499239,0.5766830379267776,True
308,log1_frequency_q99s,1.66071297307451,-0.09847667933220194,-0.1569755390903851,-0.03997781957401878,True
308,log_burned_area_n,-1.0008521427720403,-0.16215319183008392,-0.6811832012590241,0.35687681759885626,False
308,log_number_fires_n,-0.2188950682412416,-0.15786387807883606,-0.6564377863077084,0.34071003015003637,False
308,log_size_q50,-1.8847166178798753,-0.12081234937932883,-0.3002135763455307,0.05858887758687306,False
308,log_size_q99,1.7496954361880954,0.14787484079157198,0.034018603150489685,0.2617310784326543,True
309,log1_frequency_q99s,1.5383230047365553,0.052527035733932026,-0.04626745074784158,0.15132152221570563,False
309,log_burned_area_n,-1.446141642878435,0.19486632419411498,-0.5509534232425889,0.9406860716308189,False
309,log_number_fires_n,-0.6511511802806855,-0.017628653078145262,-0.7026994050250237,0.6674420988687333,False
309,log_size_q50,-1.9678823574856255,-0.04273543569938987,-0.13292166333015182,0.04745079193137207,False
309,log_size_q99,1.5940958849418503,0.41573921775119893,0.010779419875969753,0.8206990156264281,True
395,log1_frequency_q99s,0.0,0.0,0.0,0.0,False
395,log_burned_area_n,-10.332503728668001,0.1114225705597125,-0.7445056376156278,0.9673507787350528,False
395,log_number_fires_n,-6.825945831348025,0.0005663086075902157,8.936140142853021e-06,0.0011236810750375784,True
395,log_size_q50,-3.506557897319981,0.11085626195212805,-0.7455699619602584,0.9672824858645145,False
395,log_size_q99,-3.506557897319981,0.11085626195212805,-0.7455699619602584,0.9672824858645145,False
396,log1_frequency_q99s,0.0,0.0,0.0,0.0,False
396,log_burned_area_n,-6.469864914551225,0.09749221009242115,-0.3900524976303803,0.5850369178152226,False
396,log_number_fires_n,-3.658602690450231,-0.11250679903763805,-0.6953680441821108,0.47035444610683474,False
396,log_size_q50,-2.937063761971935,0.16899807849798,-0.13543959333035932,0.4734357503263193,False
396,log_size_q99,-1.307036306431975,0.05807835401976491,-0.034141510740854183,0.15029821878038402,False
397,log1_frequency_q99s,0.7555724160097379,0.05289808976938365,-0.4183712900617523,0.5241674696005196,False
397,log_burned_area_n,-3.308897328759135,0.25321144995133293,-0.47105184711444736,0.9774747470171132,False
397,log_number_fires_n,-1.8185836216834452,0.16592007354304628,-0.5730321069366435,0.9048722540227361,False
397,log_size_q50,-2.0693397544653003,-0.07170308358346811,-0.1420982233434177,-0.0013079438235185092,True
397,log_size_q99,0.22890545610672852,0.4490327146239154,0.034395808818460216,0.8636696204293706,True
398,log1_frequency_q99s,1.27026995624072,0.03719946984398104,-0.1715420340448194,0.24594097373278148,False
398,log_burned_area_n,-1.4600043383610202,0.07280009450525926,-0.5299129751801633,0.6755131641906819,False
398,log_number_fires_n,-0.2016589689241266,-0.03937185719087197,-0.626267486516963,0.547523772135219,False
398,log_size_q50,-2.320507574939355,0.04335439289086196,-0.11782280597583625,0.20453159175756017,False
398,log_size_q99,1.057212297609515,0.161749623183518,0.09040588999858208,0.2330933563684539,True
399,log1_frequency_q99s,1.12094606475642,0.10402453777818799,-0.26909382135893206,0.47714289691530803,False
399,log_burned_area_n,-2.09322025185927,0.27618117543490817,-0.766204056063817,1.3185664069336334,False
399,log_number_fires_n,-0.4837663143958899,0.005882801880634725,-1.1925463489174153,1.2043119526786847,False
399,log_size_q50,-2.47219733486352,0.10155210632790301,-0.11549659350745345,0.3186008061632595,False
399,log_size_q99,0.31458893586483705,0.619683428421308,0.3175904612019409,0.921776395640675,True
484,log1_frequency_q99s,0.0,0.0,0.0,0.0,False
484,log_burned_area_n,-6.270672822265486,-1.0462490506029316,-2.767647502452986,0.6751494012471229,False
484,log_number_fires_n,-5.236619547853181,-0.3867861558147041,-1.4784082309631221,0.7048359193337139,False
484,log_size_q50,-1.184202011953235,-0.6294331472800421,-1.1418606599566818,-0.1170056346034023,True
484,log_size_q99,-0.11869197002046517,-0.8971054624645649,-1.9249449048146383,0.1307339798855085,False
485,log1_frequency_q99s,-0.34051278817952646,0.27223449108562514,-0.007906482486268795,0.5523754646575191,False
485,log_burned_area_n,-5.3942131924964505,0.624241674302443,-0.1348379836504514,1.3833213322553375,False
485,log_number_fires_n,-3.6020011616254894,0.387561777336933,-0.2990248506086971,1.0741484052825632,False
485,log_size_q50,-2.513604717550085,0.11123130318863494,-0.2345501139062619,0.4570127202835318,False
485,log_size_q99,0.2892356197193271,0.2230061320964279,-0.18330304349849974,0.6293153076913556,False
486,log1_frequency_q99s,0.6374112334424938,0.06076191840173978,-0.10898576932309895,0.2305096061265785,False
486,log_burned_area_n,-3.239001194019415,0.18178429613441294,-0.2807378831813506,0.6443064754501765,False
486,log_number_fires_n,-1.590814699941035,0.03482742704980435,-0.5805738236618383,0.650228677761447,False
486,log_size_q50,-2.2376560456511703,-0.012492692776598036,-0.07693953380833483,0.05195414825513876,False
486,log_size_q99,0.5411463422870192,0.31262742716651826,-0.010314952813117007,0.6355698071461535,False
487,log1_frequency_q99s,0.675494113237415,0.21300054964037596,-0.13032424791386887,0.5563253471946208,False
487,log_burned_area_n,-3.09557171463496,0.4501061196297218,-0.022366403285758563,0.9225786425452022,False
487,log_number_fires_n,-1.25321486839717,0.11985699580958264,-0.2794597395993656,0.5191737312185309,False
487,log_size_q50,-2.477886463664905,0.1293362334393281,0.017682381764773755,0.24099008511388242,True
487,log_size_q99,-0.04437776721584674,0.5550089947598129,0.27654466767209973,0.8334733218475261,True
488,log1_frequency_q99s,0.35951087028668,0.17396473168252002,-0.32503513839904813,0.6729646017640882,False
488,log_burned_area_n,-3.8830531699264457,0.38831228321190125,-0.9378597277795182,1.7144842942033207,False
488,log_number_fires_n,-2.10272185709713,-0.019090963809013095,-1.1830974516717894,1.1449155240537632,False
488,log_size_q50,-2.4212979817486704,0.193030135942862,-0.2866917207639328,0.6727519926496568,False
488,log_size_q99,0.34820532876886623,0.5106256541749395,0.29499325755704053,0.7262580507928386,True
489,log1_frequency_q99s,1.3908653213335227,-0.11839242696215352,-0.30628361963525863,0.06949876571095157,False
489,log_burned_area_n,-1.3666778005949103,-0.34077762726528893,-0.8425653876227189,0.16101013309214107,False
489,log_number_fires_n,0.18975425748814034,-0.5652517479410079,-1.1575908169722129,0.02708732109019707,False
489,log_size_q50,-2.2969694418411355,0.021764292388513073,-0.05680480859786673,0.10033339337489287,False
489,log_size_q99,0.78102206828411,0.4719187105902949,0.014048608823587272,0.9297888123570025,True
490,log1_frequency_q99s,1.7006677310905052,-0.032975768168580055,-0.239738041999291,0.17378650566213089,False
490,log_burned_area_n,-0.5270523139352652,-0.11595479786595342,-0.6905070933324586,0.4585974976005518,False
490,log_number_fires_n,0.1462055986892044,-0.24665611388686515,-0.9899156162280488,0.4966033884543185,False
490,log_size_q50,-2.215246644296425,0.00893686317404685,-0.07473550171578124,0.09260922806387493,False
490,log_size_q99,2.88836579929006,0.05304248879054896,-0.429298664310416,0.5353836418915139,False
491,log1_frequency_q99s,1.5103971972061652,-0.08783318708183896,-0.15859366256126817,-0.01707271160240975,True
491,log_burned_area_n,-0.6725437488164552,-0.352978196693909,-0.8186861993469106,0.11272980595909254,False
491,log_number_fires_n,0.2130096297906499,-0.23568171154168857,-0.8615279371199653,0.39016451403658814,False
491,log_size_q50,-2.365598385515505,-0.021596681128527973,-0.03751883372105293,-0.005674528536003014,True
491,log_size_q99,1.49622436676446,-0.12693011931715548,-0.39644617110390323,0.14258593246959228,False
573,log1_frequency_q99s,0.0,0.0,0.0,0.0,False
573,log_burned_area_n,-5.232936112104045,-0.12488122143393898,-0.45811074747956976,0.2083483046116918,False
573,log_number_fires_n,-3.0676008945560107,-0.46745755665923805,-0.9096057396928574,-0.025309373625618747,True
573,log_size_q50,-2.3608618977309,0.08175979344333284,-0.7065936214872198,0.8701132083738855,False
573,log_size_q99,0.6608932575548331,-0.0575902541692446,-0.8572580099540839,0.7420775016155947,False
574,log1_frequency_q99s,0.218075598898365,-0.03366927825764529,-0.279706960163586,0.21236840364829537,False
574,log_burned_area_n,-5.753659466889051,0.17963672452591606,-2.5521870162449916,2.9114604652968237,False
574,log_number_fires_n,-4.398114519037595,0.15027072630945604,-1.795913979331136,2.096455431950048,False
574,log_size_q50,-2.549832353928455,0.199865450144194,-0.23082770968508104,0.630558609973469,False
574,log_size_q99,0.27870698787167747,0.03129797163741688,-1.5259872786027369,1.5885832218775706,False
575,log1_frequency_q99s,0.0,0.0,0.0,0.0,False
575,log_burned_area_n,-11.353566260742307,1.1186067598126246,-1.9320851839259818,4.169298703551231,False
575,log_number_fires_n,-7.17232285991461,0.447414128559831,-1.108503457369824,2.003331714489486,False
575,log_size_q50,-4.955066047627396,1.0717880493252032,0.30142517210325037,1.842150926547156,True
575,log_size_q99,-6.606041098536095,2.4436882508466304,0.10032921854546206,4.787047283147799,True
576,log1_frequency_q99s,-0.28810010329844243,0.25628113238833533,-0.15893152376514708,0.6714937885418177,False
576,log_burned_area_n,-11.545616437953147,2.4819679341813172,-0.09651845443143392,5.060454322794069,False
576,log_number_fires_n,-6.948983757144069,1.0535369045958323,-0.6920569247071329,2.7991307338987976,False
576,log_size_q50,-3.909090445701945,0.627113354059625,0.1815990825104561,1.0726276256087939,True
576,log_size_q99,-4.6760002714691105,2.40384670635221,-0.24743264793431274,5.055126060638733,False
577,log1_frequency_q99s,0.8256110289417145,0.019568253061990337,-0.5208496384154626,0.5599861445394434,False
577,log_burned_area_n,-2.6449898326534753,0.060323212784438196,-1.505901636746551,1.6265480623154274,False
577,log_number_fires_n,-2.0650660135461054,-0.07304386147596487,-1.1489163007128904,1.002828577760961,False
577,log_size_q50,-2.1808755308101944,0.11937757704955487,-0.05117349214316114,0.2899286462422709,False
577,log_size_q99,1.332560939158295,0.5311308509257859,-0.38656412095306847,1.4488258228046402,False
578,log1_frequency_q99s,0.49531095038391204,-0.08568955420832589,-0.38190431589745233,0.21052520748080053,False
578,log_burned_area_n,-3.585864315318071,-0.23511340658052582,-1.048056482580305,0.5778296694192534,False
578,log_number_fires_n,-3.451422769537031,-0.12571050953294405,-0.6630252030888851,0.41160418402299703,False
578,log_size_q50,-1.9512797958898902,-0.002702858524255003,-0.5407089694235467,0.5353032523750367,False
578,log_size_q99,2.6146018017130497,-0.13243633516740605,-1.4397819615546696,1.1749092912198575,False
579,log1_frequency_q99s,1.5045372778455703,0.024887203283143977,-0.06313221924219885,0.1129066258084868,False
579,log_burned_area_n,-0.8135857384643687,0.0013233927546071889,-0.15579720663555446,0.15844399214476884,False
579,log_number_fires_n,-1.15559906737702,-0.1295526361933259,-0.3971707421250552,0.1380654697384034,False
579,log_size_q50,-1.5239216850160648,-0.04868215469528092,-0.19031292773116823,0.09294861834060639,False
579,log_size_q99,3.9852072642572254,0.017059376586237907,-0.06654784034151172,0.10066659351398753,False
580,log1_frequency_q99s,1.802419943378525,-0.01306219952773402,-0.06597280446617412,0.03984840541070609,False
580,log_burned_area_n,-0.37557232272973207,-0.03652367845142407,-0.16600284891888373,0.09295549201603559,False
