"","mean_prec","mean_temp_ds","mean_prec_ds","mean_peak_ds","log_popdens","log_lstkdens","sqrt_anthropic","log_anthropic_delta"
"mean_prec",1,0.0124210529672711,-0.53981821895459,-0.119309936092746,-0.311467341920819,0.255611099284216,0.0733886482904265,0.157302905322308
"mean_temp_ds",0.0124210529672863,1,-0.202603520026962,0.32257339776457,-0.271726292470189,0.241365415764427,-0.390021215619402,-0.287787074665285
"mean_prec_ds",-0.539818218954586,-0.20260352002699,1,-0.0625701749038431,-0.145390320139383,0.263093839439859,0.011610984731224,0.0830392893315107
"mean_peak_ds",-0.119309936092751,0.322573397764571,-0.0625701749038509,1,0.187652488389712,0.0243514242882441,-0.14697473222966,0.239144298449365
"log_popdens",-0.311467341920814,-0.271726292470198,-0.145390320139379,0.187652488389713,1,0.440951609777355,-0.00677707085791073,-0.169384069449263
"log_lstkdens",0.255611099284212,0.241365415764434,0.263093839439856,0.0243514242882427,0.440951609777356,1,0.595058920303296,-0.0715245069993808
"sqrt_anthropic",0.0733886482904329,-0.390021215619395,0.0116109847312372,-0.146974732229663,-0.00677707085790543,0.595058920303292,1,-0.0989861507085666
"log_anthropic_delta",0.157302905322312,-0.287787074665281,0.0830392893315189,0.239144298449364,-0.169384069449259,-0.0715245069993839,-0.098986150708567,1
