"id","clust_5","clust_3","clust_pred4_5"
2001,2,1,"2"
2002,2,1,"4"
2003,2,1,"4"
2004,2,1,"2"
2005,2,1,"2"
2006,2,1,"2"
2007,2,1,"2"
2008,2,1,"2"
2009,2,1,"4"
2010,2,1,"4"
2011,2,1,"4"
2012,2,1,"4"
2013,2,1,"4"
2014,2,1,"2"
2017,2,1,"2"
2018,2,1,"2"
2023,2,1,"4"
2024,2,1,"4"
2025,2,1,"4"
2026,3,2,"4"
2027,3,2,"4"
2028,2,1,"4"
2029,3,2,"4"
2030,3,2,"4"
2031,3,2,"3"
2032,3,2,"3"
2033,3,2,"3"
2034,3,2,"3"
2035,3,2,"3"
2036,3,2,"3"
2037,3,2,"3"
2038,3,2,"3"
2039,3,2,"3"
2040,3,2,"3"
2041,3,2,"3"
2042,3,2,"3"
2091,2,1,"2"
2092,2,1,"2"
2093,2,1,"2"
2094,2,1,"2"
2095,2,1,"2"
2096,2,1,"3"
2097,2,1,"2"
2098,2,1,"4"
2099,2,1,"4"
2100,2,1,"4"
2101,2,1,"4"
2102,2,1,"4"
2103,2,1,"4"
2104,2,1,"4"
2105,2,1,"4"
2106,2,1,"4"
2107,2,1,"4"
2108,2,1,"4"
2109,2,1,"4"
2110,2,1,"4"
2111,2,1,"4"
2112,3,2,"4"
2113,3,2,"4"
2114,3,2,"4"
2115,3,2,"4"
2116,3,2,"4"
2117,3,2,"4"
2118,3,2,"4"
2119,3,2,"4"
2120,3,2,"3"
2121,3,2,"3"
2122,3,2,"3"
2123,3,2,"4"
2124,3,2,"3"
2125,3,2,"3"
2126,3,2,"4"
2127,3,2,"3"
2128,3,2,"3"
2129,3,2,"4"
2180,2,1,"2"
2181,2,1,"2"
2182,2,1,"2"
2183,2,1,"2"
2184,2,1,"2"
2185,2,1,"3"
2186,2,1,"4"
2187,2,1,"4"
2188,2,1,"4"
2189,2,1,"2"
2190,2,1,"4"
2191,2,1,"3"
2192,2,1,"4"
2193,2,1,"4"
2194,2,1,"3"
2195,2,1,"4"
2196,2,1,"4"
2197,3,2,"4"
2198,3,2,"4"
2199,3,2,"4"
2200,3,2,"4"
2201,3,2,"4"
2202,3,2,"4"
2203,3,2,"4"
2204,3,2,"4"
2205,3,2,"4"
2206,3,2,"4"
2207,3,2,"4"
2208,3,2,"3"
2209,3,2,"3"
2210,3,2,"4"
2211,3,2,"3"
2212,3,2,"3"
2213,3,2,"3"
2214,3,2,"3"
2216,3,2,"4"
2217,3,2,"4"
2218,3,2,"4"
2219,3,2,"4"
2270,2,1,"2"
2271,2,1,"2"
2272,2,1,"2"
2273,2,1,"2"
2274,2,1,"2"
2275,2,1,"4"
2276,2,1,"4"
2277,2,1,"4"
2278,2,1,"4"
2279,2,1,"4"
2280,2,1,"3"
2281,2,1,"3"
2282,2,1,"4"
2283,2,1,"4"
2284,2,1,"4"
2285,2,1,"4"
2286,3,2,"4"
2287,3,2,"4"
2288,3,2,"4"
2289,3,2,"4"
2290,3,2,"4"
2291,3,2,"4"
2292,3,2,"4"
2293,3,2,"4"
2294,3,2,"3"
2295,3,2,"3"
2296,3,2,"3"
2297,3,2,"3"
2298,3,2,"3"
2299,3,2,"3"
2300,3,2,"4"
2301,3,2,"3"
2306,3,2,"4"
2307,3,2,"4"
2308,3,2,"3"
2359,2,1,"2"
2360,2,1,"2"
2361,2,1,"2"
2362,2,1,"2"
2363,2,1,"4"
2364,2,1,"4"
2365,2,1,"4"
2366,2,1,"4"
2367,2,1,"4"
2368,2,1,"2"
2369,2,1,"4"
2370,2,1,"4"
2371,2,1,"4"
2372,2,1,"4"
2373,2,1,"4"
2374,2,1,"2"
2375,2,1,"4"
2376,3,2,"4"
2377,3,2,"4"
2378,3,2,"4"
2379,3,2,"4"
2380,3,2,"4"
2381,3,2,"4"
2382,3,2,"4"
2383,3,2,"4"
2384,3,2,"4"
2385,3,2,"3"
2386,3,2,"4"
2387,3,2,"4"
2388,3,2,"3"
2389,3,2,"4"
2390,3,2,"3"
2448,2,1,"2"
2449,2,1,"2"
2450,2,1,"2"
2451,2,1,"2"
2452,2,1,"2"
2453,2,1,"4"
2454,2,1,"2"
2455,2,1,"2"
2456,2,1,"2"
2457,2,1,"2"
2458,2,1,"2"
2459,2,1,"2"
2460,2,1,"4"
2461,2,1,"2"
2462,2,1,"4"
2463,2,1,"4"
2464,2,1,"4"
2465,3,2,"4"
2466,3,2,"4"
2467,3,2,"4"
2468,3,2,"4"
2469,3,2,"4"
2470,3,2,"3"
2471,3,2,"3"
2472,3,2,"4"
2473,3,2,"4"
2474,3,2,"4"
2475,3,2,"4"
2476,3,2,"4"
2477,3,2,"3"
2478,3,2,"4"
2479,3,2,"4"
2480,3,2,"3"
2536,2,1,"2"
2537,2,1,"2"
2538,2,1,"2"
2539,2,1,"2"
2540,2,1,"2"
2541,2,1,"2"
2542,2,1,"3"
2543,2,1,"4"
2544,2,1,"4"
2545,2,1,"2"
2546,2,1,"2"
2547,2,1,"2"
2548,2,1,"2"
2549,2,1,"4"
2550,2,1,"4"
2551,2,1,"4"
2552,2,1,"4"
2553,2,1,"4"
2554,3,2,"4"
2555,3,2,"4"
2556,3,2,"4"
2557,3,2,"4"
2558,3,2,"4"
2559,3,2,"4"
2560,3,2,"4"
2561,3,2,"4"
2562,3,2,"4"
2563,3,2,"4"
2564,3,2,"4"
2565,3,2,"4"
2566,3,2,"4"
2567,3,2,"4"
2568,3,2,"3"
2569,3,2,"4"
2625,2,1,"2"
2626,2,1,"2"
2627,2,1,"2"
2628,2,1,"2"
2629,2,1,"2"
2630,2,1,"2"
2631,2,1,"2"
2632,2,1,"4"
2633,2,1,"2"
2634,2,1,"2"
2635,2,1,"2"
2636,2,1,"4"
2637,2,1,"2"
2638,2,1,"2"
2639,2,1,"4"
2640,2,1,"4"
2641,2,1,"4"
2642,2,1,"4"
2643,2,1,"4"
2644,3,2,"4"
2645,3,2,"4"
2646,3,2,"4"
2647,3,2,"3"
2648,3,2,"4"
2649,3,2,"4"
2650,3,2,"4"
2651,3,2,"3"
2652,3,2,"4"
2653,3,2,"4"
2654,3,2,"4"
2655,3,2,"4"
2656,3,2,"4"
2657,3,2,"3"
2658,3,2,"4"
2714,2,1,"2"
2715,2,1,"2"
2716,2,1,"4"
2717,2,1,"2"
2718,2,1,"2"
2719,2,1,"4"
2720,2,1,"3"
2721,2,1,"4"
2722,2,1,"4"
2723,2,1,"4"
2724,2,1,"2"
2725,2,1,"4"
2726,2,1,"4"
2727,3,2,"4"
2728,3,2,"4"
2729,3,2,"4"
2730,3,2,"4"
2731,2,1,"4"
2732,2,1,"4"
2733,2,1,"4"
2734,3,2,"4"
2735,3,2,"3"
2736,3,2,"3"
2737,3,2,"4"
2738,3,2,"4"
2739,3,2,"4"
2740,3,2,"3"
2741,3,2,"3"
