"id","PC1","PC2","PC3","PC4"
"mean_prec",-4.52059020301873,5.75061575180456,-6.24973122001586,-3.22062357761499
"mean_temp_ds",-5.80236526434153,-3.73757148944014,3.99130852640492,-6.2745076944089
"mean_prec_ds",5.88305635553266,-3.50204367392765,-4.32984887085109,-6.1085694429041
"mean_peak_ds",-3.7713848030694,-6.60556899910877,-5.40366528754864,3.98502072579232
