"id","PC1","PC2","PC3","PC4"
307,-0.020210350300612,-0.306905835811843,-0.0685350737921441,0.0867120714276427
308,-0.0595029564959679,-0.276295152272913,-0.0739928141144756,-0.0257056758126651
309,-0.0137013218055211,-0.343038159332264,-0.128240330551084,0.068418014515607
395,-0.159053208476578,-0.454568794779662,-0.051466595226668,0.0869832763976131
396,-0.141804520128994,-0.439907838161959,-0.0711569712281152,0.0324118039898421
397,-0.10168559807541,-0.413888322576479,-0.111214442529558,0.00234450167341536
398,-0.0433450468813227,-0.501438102357524,-0.268710598810639,-0.0303890243058273
399,-0.0455333089118445,-0.306535687048836,-0.175633805825971,-0.0147741939568105
484,-0.143752917087551,-0.413830162692078,-0.15370218845302,0.152804557068381
485,-0.110034864417649,-0.380995026739675,-0.110431931911626,0.103745496613527
486,-0.112364577902179,-0.417101642943122,-0.13594828223169,0.0399480434685497
487,-0.170054926287211,-0.430626897967288,-0.209965642142659,0.103565381693643
488,-0.179293631660621,-0.392830864780046,-0.202234420991529,0.111259971373597
489,-0.148200286531807,-0.320292958938427,-0.196860984560488,0.0875640026497046
490,-0.109742201844065,-0.33584923399742,-0.26342264942849,0.0590452660272802
491,-0.0911625278679449,-0.255149507815829,-0.234235315453839,0.0446055986602225
573,-0.162718512885192,-0.39293145608144,-0.114908105576758,0.167438045290358
574,-0.16879001567442,-0.419974470417919,-0.125295118271102,0.171934046757019
575,-0.228005397361979,-0.401627075047153,-0.132393201558278,0.150343049131214
576,-0.227664051745481,-0.399930910200693,-0.137060155596755,0.147329299826053
577,-0.227799622723549,-0.399404139659472,-0.136497336429894,0.147426292288575
578,-0.23021059225958,-0.400115505536598,-0.133497381714444,0.149226809617206
579,-0.228801059710015,-0.399362424894531,-0.135016772954871,0.148171637811906
580,-0.110327582249834,-0.113787453703841,-0.108153854257071,0.0578150996946443
581,-0.0872751522666746,-0.252985903047546,-0.159400450397174,0.120303316895904
582,-0.0100988481281189,-0.317042254559884,-0.251871934365769,0.119903505497144
583,0.00597252936555904,-0.20196590886072,-0.205209785175865,0.088794803978896
662,-0.156464337802169,-0.392910692679538,-0.123958921195095,0.162781102495054
663,-0.177041408620785,-0.414905519080796,-0.111547938289499,0.177003775211252
664,-0.216152025029655,-0.382595606971408,-0.137040482170507,0.141014422959207
665,-0.231741432777054,-0.401096673627789,-0.131960768431976,0.150374017185582
666,-0.237770349589894,-0.400387344506946,-0.134108371147535,0.139100149690105
667,-0.19511094549362,-0.349649912626616,-0.193113652363009,0.0622951354945284
668,-0.115118860424574,-0.275819013384022,-0.261352872436079,-0.00277817122800514
669,-0.120908415375012,-0.291198153364872,-0.269198463159613,-0.0059034497194074
670,-0.106851206068882,-0.313826606509268,-0.224788921879048,0.0765483323506043
