"id","PC1","PC2","PC3","PC4","PC5","PC6"
307,-0.0815062709024451,-0.0124676650750645,-0.0395337690584322,0.0585195021803469,-0.0612014472504842,0.0917110576803395
308,-0.102622409584306,-0.0093622866918279,0.0161095986675174,0.105738546216335,-0.0624692877314717,-0.00560794104032243
309,-0.0336278434345796,0.00158374384623297,0.00596978636203627,0.0499635836580198,-0.0250932135675156,0.0677123991606448
395,-0.181837940318544,-0.0119284015875719,0.0536043329580743,0.0853574071964976,-0.120908451744726,0.124701633448389
396,-0.164773632067637,-0.0281168485589306,0.0603459113471651,0.0991651583256026,-0.100974008275107,0.0702292712549223
397,-0.129278556965905,-0.0322252496198246,0.0356218921711913,0.111314303752845,-0.0631661695288603,0.0284260338759302
398,-0.0559233817248114,-0.024730508139276,-0.00567961257912248,0.120631254581212,0.0119860642034031,-0.0468030048199543
399,-0.0682023117739612,0.023950345413681,-0.0062719960186371,0.114875682207343,-0.000377352777604113,-0.0227204077444406
484,-0.174994755056582,0.0487643433311389,-0.0239559629273703,0.0712274365832678,-0.0336624090723456,0.137811729157128
485,-0.156637805702747,0.00772513778759425,-0.0240134944258224,0.0892687181784146,-0.0505511374942521,0.108162929014899
486,-0.131986769212303,-0.0106072451372557,0.0368682822917915,0.0861280182926793,-0.0406465158484084,0.0517188510475725
487,-0.170157086871114,0.0606190469117478,0.0302816836556972,0.0683228735226685,0.0038975064371413,0.0816209446648722
488,-0.17157351921627,0.0631076514792937,0.031778790068376,0.101140730073773,0.0290798974473546,0.103305837735141
489,-0.143796404437895,0.0756999824494351,0.0185330062791211,0.11079432057762,0.0406816279730389,0.0768214362811423
490,-0.0960099739299658,0.079746438000807,0.0152002836491754,0.0939194928405188,0.0775519295899005,0.0255997559953771
491,-0.0884046780764329,0.0804040553104007,0.0183057820116064,0.0726502626160385,0.0837551594659549,0.00877106841447275
573,-0.187434979322553,0.0560092071652641,-0.00238876707406244,0.0679694725453802,-0.05226688047816,0.165002791641444
574,-0.190077296907027,0.0359574806720656,0.00887333529447315,0.0657716958003991,-0.0348581386116673,0.173805032586323
575,-0.231550191331695,0.0447197290036277,0.0702554388406331,0.0483642726511309,-0.00964791492552956,0.153277522511804
576,-0.227453158920291,0.065510638018447,0.0678647108044285,0.0460311943309326,-0.0235581047478516,0.143646981594851
